epoch,accuracy,loss,val_accuracy,val_loss
0,0.0006380221457220614,8.062191009521484,0.0003189792623743415,7.737889289855957
1,0.0003389492630958557,7.974330425262451,0.00015948963118717074,7.738807201385498
2,0.0003389492630958557,7.897395610809326,0.0003189792623743415,7.741852283477783
3,0.0004585784045048058,7.845350742340088,0.0,7.745003700256348
4,0.0004187020240351558,7.809299468994141,0.0,7.747452735900879
5,0.0004785165947396308,7.781981468200684,0.0,7.750229835510254
0,0.4194853901863098,4.73408317565918,0.76888108253479,2.0765891075134277
1,0.7315449118614197,3.2840471267700195,0.871281623840332,0.9211046099662781
2,0.848152220249176,2.3229591846466064,0.9144269824028015,0.44263485074043274
3,0.9039487242698669,1.5936299562454224,0.9414626359939575,0.27707424759864807
4,0.9329784512519836,1.0971606969833374,0.953345537185669,0.20031745731830597
5,0.9514409899711609,0.7723065614700317,0.9632347226142883,0.16389158368110657
6,0.9625664353370667,0.5562667846679688,0.9678602814674377,0.1384713500738144
7,0.9701827168464661,0.41383305191993713,0.9706515669822693,0.12422920018434525
8,0.9754862189292908,0.317133367061615,0.9766328930854797,0.10680408775806427
9,0.9799423813819885,0.24895700812339783,0.9759151339530945,0.10712623596191406
10,0.9829928874969482,0.2013561725616455,0.980221688747406,0.09809184074401855
11,0.9845679998397827,0.16663965582847595,0.978865921497345,0.10604004561901093
12,0.9861231446266174,0.14080165326595306,0.9787861704826355,0.09843899309635162
13,0.9878976345062256,0.12048694491386414,0.9811787009239197,0.08639932423830032
14,0.9893929958343506,0.10371080785989761,0.9812584519386292,0.08826693892478943
15,0.9901008009910583,0.09222088754177094,0.9799824357032776,0.08961999416351318
16,0.9908883571624756,0.08222395181655884,0.9807799458503723,0.07993132621049881
17,0.9915961623191833,0.07425742596387863,0.9806204438209534,0.08103903383016586
18,0.991815447807312,0.06765056401491165,0.9818167090415955,0.08506609499454498
19,0.9921743273735046,0.06123076751828194,0.9812584519386292,0.07945047318935394
20,0.9931313395500183,0.05506542697548866,0.9803014397621155,0.09240937978029251
21,0.993330717086792,0.05182536691427231,0.9807799458503723,0.08440125733613968
22,0.9938192367553711,0.047669339925050735,0.9807799458503723,0.0827849730849266
23,0.9937294721603394,0.0458744540810585,0.9816572070121765,0.07945787906646729
24,0.9942678213119507,0.042123306542634964,0.9842889904975891,0.07184331119060516
25,0.9944971203804016,0.04010545834898949,0.9836509823799133,0.07951332628726959
26,0.9951052069664001,0.03664448857307434,0.9848472476005554,0.07490783929824829
27,0.9948759078979492,0.03580855578184128,0.9837307333946228,0.0718623548746109
28,0.9953943490982056,0.0331026166677475,0.9842092394828796,0.06752011924982071
29,0.9951949715614319,0.03228137269616127,0.9852460026741028,0.06657321006059647
30,0.995474100112915,0.029850436374545097,0.9827737212181091,0.07006106525659561
31,0.9950055480003357,0.03005295619368553,0.9842092394828796,0.07307442277669907
32,0.9958528876304626,0.027814745903015137,0.9845282435417175,0.07244118303060532
33,0.9959326386451721,0.026498347520828247,0.9844484925270081,0.07497196644544601
34,0.99625164270401,0.024433515965938568,0.9835712313652039,0.0720759704709053
35,0.9958728551864624,0.02548203244805336,0.9860435724258423,0.06728001683950424
36,0.9965507388114929,0.02310905046761036,0.9833319783210754,0.07362604141235352
37,0.9963613152503967,0.022907057777047157,0.9857245683670044,0.06889799237251282
38,0.9970491528511047,0.02035447023808956,0.985325813293457,0.06906401365995407
39,0.996321439743042,0.021596193313598633,0.9860435724258423,0.06634476035833359
40,0.996411144733429,0.021405603736639023,0.9845282435417175,0.0702400729060173
41,0.9968996644020081,0.019551748409867287,0.9862030744552612,0.06474554538726807
42,0.9968298673629761,0.018620595335960388,0.9866018295288086,0.06503241509199142
43,0.997079074382782,0.01863134279847145,0.9850865006446838,0.06649093329906464
44,0.9971987009048462,0.017390886321663857,0.9872398376464844,0.06164436787366867
45,0.9968398213386536,0.018116535618901253,0.9865220785140991,0.06877975910902023
46,0.9973183274269104,0.016582520678639412,0.9856448173522949,0.06817203760147095
47,0.9975277185440063,0.01551777869462967,0.9869208335876465,0.06553369760513306
48,0.9971787929534912,0.016059357672929764,0.9862828254699707,0.06825686246156693
49,0.9975376725196838,0.014934558421373367,0.9867613315582275,0.06617094576358795
